Modelo,AP_media,AP_mediana,AP_minima,AUC_PR_media
PCA,0.8735291689210893,0.9820864448731498,0.4657162813416742,0.8735285496327778
Isolation Forest,0.785074446379123,0.8147984765884053,0.4701814305750431,0.7850731626417147
Autoencoder,0.8510552530739981,0.9759613451163114,0.4594812437583743,0.8510545425984033
