Modelo,Tasa global detección (%),Fallas detección >= 99 %,Retraso ponderado por corridas (min),FAR_persistente_pct,Episodios_por_100h,AP_media,AP_mediana
PCA,92.95116772823779,17,139.74257651895843,0.25375,1.7833333333333332,0.8735291689210893,0.9820864448731498
Isolation Forest,94.51541850220264,13,313.39338149615475,1.67625,4.65,0.785074446379123,0.8147984765884053
Autoencoder,93.52876106194691,17,164.37196924896512,0.2685416666666667,1.9541666666666664,0.8510552530739981,0.9759613451163114
